bank,review,rating,date,source,normalized_date
CBE,it's very helpful app in any way in and out of the county of Ethiopia good luck,5,2025-06-12,Google Play,2025-06-12
CBE,good app,5,2025-06-11,Google Play,2025-06-11
CBE,So bad now and hard to use,5,2025-06-09,Google Play,2025-06-09
CBE,"it is so amazing app. but, it is better to update it to access without any internet fees. just make it to open by free internet service when we open data connection.",5,2025-06-09,Google Play,2025-06-09
CBE,v.good app,4,2025-06-09,Google Play,2025-06-09
CBE,very good app,1,2025-06-09,Google Play,2025-06-09
CBE,Very amazing app indeed. I'm enjoying it,5,2025-06-08,Google Play,2025-06-08
CBE,Best,5,2025-06-08,Google Play,2025-06-08
CBE,A great app. It's like carrying a bank in your pocket.,4,2025-06-07,Google Play,2025-06-07
CBE,More than garrantty bank EBC.,4,2025-06-07,Google Play,2025-06-07
CBE,really am happy to this app it is Siple to use everything,5,2025-06-07,Google Play,2025-06-07
CBE,I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07,Google Play,2025-06-07
CBE,"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,Google Play,2025-06-06
CBE,what is this app problem???,1,2025-06-05,Google Play,2025-06-05
CBE,the app is proactive and a good connections.,5,2025-06-05,Google Play,2025-06-05
CBE,I cannot send to cbebirr app. through this app.,3,2025-06-05,Google Play,2025-06-05
CBE,good,4,2025-06-05,Google Play,2025-06-05
CBE,not functional,1,2025-06-05,Google Play,2025-06-05
CBE,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,Google Play,2025-06-04
CBE,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,Google Play,2025-06-04
CBE,best,5,2025-06-04,Google Play,2025-06-04
CBE,Best Mobile Banking app ever,5,2025-06-04,Google Play,2025-06-04
CBE,it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,Google Play,2025-06-04
CBE,Good,5,2025-06-04,Google Play,2025-06-04
CBE,👌👍,5,2025-06-04,Google Play,2025-06-04
CBE,very niec,5,2025-06-04,Google Play,2025-06-04
CBE,best app of finance,5,2025-06-04,Google Play,2025-06-04
CBE,yetemeta,1,2025-06-03,Google Play,2025-06-03
CBE,it is not safety,1,2025-06-03,Google Play,2025-06-03
CBE,NICE bank,5,2025-06-03,Google Play,2025-06-03
CBE,it is like a childish app make it better the worst I have ever seen,1,2025-06-02,Google Play,2025-06-02
CBE,"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,Google Play,2025-06-02
CBE,It's good but try to make it facilitate for your client,4,2025-06-02,Google Play,2025-06-02
CBE,best app,5,2025-06-01,Google Play,2025-06-01
CBE,Awesome bank,5,2025-06-01,Google Play,2025-06-01
CBE,this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,Google Play,2025-05-31
CBE,Masha alla,5,2025-05-31,Google Play,2025-05-31
CBE,"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,Google Play,2025-05-31
CBE,better service,5,2025-05-31,Google Play,2025-05-31
CBE,"it,s good app and time manager 👍",5,2025-05-30,Google Play,2025-05-30
CBE,malkaamuu Jiidhaa Namoo,5,2025-05-30,Google Play,2025-05-30
CBE,lower system everything,3,2025-05-30,Google Play,2025-05-30
CBE,Nice!,5,2025-05-30,Google Play,2025-05-30
CBE,Keep it up My CBE,5,2025-05-29,Google Play,2025-05-29
CBE,yes good,5,2025-05-28,Google Play,2025-05-28
CBE,"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,Google Play,2025-05-27
CBE,i like everything of this app,5,2025-05-27,Google Play,2025-05-27
CBE,🤬🤬🤬🤬 network 🛜,1,2025-05-26,Google Play,2025-05-26
CBE,CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,Google Play,2025-05-26
CBE,nice,5,2025-05-26,Google Play,2025-05-26
CBE,good job,5,2025-05-26,Google Play,2025-05-26
CBE,it's awesome!!,5,2025-05-25,Google Play,2025-05-25
CBE,thankyou every one,5,2025-05-25,Google Play,2025-05-25
CBE,Ronaldo 🇵🇹 🥇,5,2025-05-25,Google Play,2025-05-25
CBE,"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,Google Play,2025-05-25
CBE,"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,Google Play,2025-05-25
CBE,mortuary app,5,2025-05-25,Google Play,2025-05-25
CBE,it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,Google Play,2025-05-25
CBE,amazing app I am used this app for one year,4,2025-05-24,Google Play,2025-05-24
CBE,👍,5,2025-05-24,Google Play,2025-05-24
CBE,i love it 😍😘,5,2025-05-24,Google Play,2025-05-24
